Benchmark,Method 1,Method 2,Method 3,Method 4
8.337438184788064e-6,6.241249905747736e-5,8.337438184997156e-6,7.641993104184278e-6,0.0001194649042493853
8.616215223511475e-5,3.375302515656109e-5,1.487702245228868e-5,3.3325848831241214e-5,0.00014051893557253956
0.0005866089794753289,9.543525970324301e-6,0.0001376712747735215,2.191365131382292e-5,0.0008244584071332702
8.589921673222173e-5,2.74515188397251e-5,0.0001818991292946062,3.900902004945728e-5,8.607431044006801e-5
0.0003247063874784752,7.379820620749524e-5,0.00011230277239942508,1.433613355305112e-5,8.202495236446574e-5
0.0003616303658125473,2.752979362723016e-6,3.45311970078418e-5,1.7531230693637468e-6,0.0003531301058073849
0.00017884656207959308,9.975722260390273e-5,0.00017866082111474456,2.0718300668894242e-5,7.641808591349986e-5
0.00010937657856750198,2.3243738420857743e-6,0.00015090582871357458,6.325330783670877e-5,8.692325154512595e-7
5.666908146086208e-6,3.515402312422875e-5,0.0002449119170769156,5.666908146086208e-6,0.00012990753203288171
0.00020894583147769668,3.1127063164288357e-5,0.00013368786298709737,7.765712097997603e-6,2.5236225025998466e-5
