Benchmark,Method 1,Method 2,Method 3,Method 4
0.2589079891984461,0.17420799578475896,0.2589079891984461,0.2589079891984461,0.06171375880919457
0.0010177541558295082,0.16340608390817607,0.004862603188963401,0.0010177541558295082,0.16340608390817607
0.12112332112332141,0.1729751729751738,0.10997150997151053,0.12112332112332141,0.38689458689458817
0.18297088094360422,0.002064135643199072,0.368743088831552,0.2267600442314776,0.2267600442314776
0.021818561436475203,0.1255872220482304,0.0031318509238959596,0.0031318509238959596,0.1931308069735877
0.033042680128499195,0.14318494722349706,0.00367140890316644,0.006730916322472196,0.033042680128499195
0.12389116660454733,0.1916511367871787,0.3459560193812894,0.3459560193812894,0.0004472605292582771
0.00024146812620740238,0.17039600772697983,0.17039600772697983,0.17039600772697983,0.17643271088216333
0.22351263243683792,0.14323553382233054,0.2691524042379785,0.04054604726976355,0.14323553382233054
0.1320667284522705,0.15820203892493048,0.03753475440222415,0.03753475440222415,0.2888785912882298
