Benchmark,Method 1,Method 2,Method 3,Method 4
0.02039959040984398,0.023678155881483934,0.017597829008294427,0.010828504260057334,0.011651680178104473
0.012465417481834752,0.019857055497822195,0.014196024793066277,0.018968051118581457,0.011678573492116559
0.012261155204777646,0.01714717573369013,0.01100303001158515,0.01254796037318227,0.010539349967593396
0.01108385088320174,0.013048653865983398,0.010437379494962793,0.01094176398189977,0.013994234889919169
0.01672576227573633,0.016969426962138743,0.013309650288610366,0.010219465942012222,0.015065410635483506
0.015155925934210767,0.009779105733867121,0.012659542627667972,0.008591239247427366,0.01213930569222079
0.009926191863121903,0.017386672463201813,0.013694881273336285,0.014248744248508399,0.018375531581957275
0.0120798700531403,0.012500961708641548,0.009208646184475117,0.006880335015203663,0.01769783131713038
0.00661619601046946,0.015118969376571418,0.009621324672207136,0.02165496247742293,0.00976415316473159
0.012724279999900636,0.01566945294016787,0.010606156489125773,0.014414865723184274,0.007036680088152898
