Benchmark,Method 1,Method 2,Method 3,Method 4
4.474721975484344e-5,3.113190148558655e-5,3.945604572072181e-5,2.7776283373198173e-6,2.012172322015529e-5
5.645706936104335e-6,0.00012833713384467128,3.517609029409727e-6,2.3184309342978862e-5,0.00012448474579668576
2.4727069431295432e-5,3.905977617994388e-5,2.157150310535969e-5,1.7135731093099713e-5,8.996827515029976e-6
3.818749834190554e-5,9.681720292779575e-5,5.3485387701619595e-5,3.763332813930526e-5,5.10640836221874e-5
7.139949788395081e-5,0.0001426589322563056,6.392019982204248e-5,1.213042956062237e-5,1.5154368122321911e-5
9.829913614792288e-6,3.537981351655184e-5,2.6224469560840645e-5,5.54859182794929e-6,5.7794227593450145e-6
5.281686835491659e-5,0.00030813793696078873,1.139660655580334e-5,3.9856455818961554e-6,2.848910696949039e-6
1.3629199966014887e-5,6.0851747308941235e-5,4.138118194052165e-6,6.770005924085753e-6,2.0725756706981562e-5
6.120373752040136e-5,0.00013099899841034402,8.994150675476463e-5,1.1095845604900208e-5,1.4041219260312475e-5
4.2722378254733174e-5,6.964165756699455e-5,5.771252537675375e-6,6.05878917852478e-6,4.486440128645559e-5
