Benchmark,Method 1,Method 2,Method 3,Method 4
1.3540790984044718e-5,2.8183360678029375e-5,3.673715452965064e-5,1.9044552635192632e-5,1.3104573389359407e-5
8.18111901820285e-6,6.0136053864151835e-6,9.740363888948252e-6,4.050717720279592e-5,8.543994764500844e-6
2.593842181221274e-5,2.267138996958186e-5,1.1289239146444438e-5,1.4530343045797252e-5,9.894144018899268e-6
4.496417335400169e-5,7.641291368705702e-5,2.264570791492034e-5,6.629469558644605e-5,6.05396975617721e-5
6.415690836803551e-5,5.811493860721809e-5,1.6585782962871086e-5,1.61183811329835e-5,1.1520155181343298e-5
2.3492244383149616e-5,2.8133994727682023e-5,1.4845635950827216e-5,1.8618871276358048e-5,1.7150778256983692e-5
5.064625621163741e-5,3.18505204796618e-5,8.72557238775335e-6,3.308519506166164e-6,3.986994905271165e-5
1.0317135160938727e-5,7.063873377935252e-5,2.155684667417388e-5,8.52258061980471e-6,2.881003437388251e-5
3.276477532599604e-5,0.00012685788572806963,7.853156678828918e-5,0.00011765780794219865,5.248838466689706e-6
4.125981133570406e-5,0.00010024633263266627,4.657210716027924e-6,1.8836998171068262e-5,6.462636579932498e-5
