Benchmark,Method 1,Method 2,Method 3,Method 4
2.0903035935985137e-5,4.378341673799224e-5,3.789622592208633e-5,1.697584903162691e-5,1.0249158889924602e-5
4.9741669132170525e-6,1.5984348389045363e-5,4.836163674744446e-6,2.6705551767712374e-5,2.113955514606695e-5
2.7008451219529066e-5,1.594764709313827e-5,4.220780090121675e-5,1.295308621581817e-5,1.9889339801272117e-5
3.18515539449076e-5,4.2168554274755705e-5,8.604169994036593e-6,9.410079003959455e-6,1.986586641180623e-5
9.79114775974309e-6,0.0001049983714713338,9.317774822576992e-6,1.423660004010439e-5,2.5735620029021645e-5
2.7331095880640317e-5,4.490105151214918e-5,4.580317930432968e-5,2.046857556075346e-5,2.5245323060151503e-6
5.135390230116587e-5,9.246949133475966e-5,6.393948329787962e-5,2.3795397146632705e-6,3.497877492777707e-5
1.1371868709196073e-5,5.988155476935838e-5,2.6757995488709354e-5,6.400418152374903e-5,5.617443151388783e-5
3.239629254877038e-5,9.550845861329764e-5,3.584356035808152e-5,3.915296459288293e-5,6.063127523066498e-6
2.4156338152404702e-5,5.45656455798125e-5,2.146153935251672e-5,1.5721271528002198e-5,9.421528034876254e-6
